mid,tie,w_poss,l_poss
Bayern-Munich-Wolfsburg-August-22-2014-Bundesliga,False,60,40
Hoffenheim-Augsburg-August-23-2014-Bundesliga,False,43,57
Hannover-96-Schalke-04-August-23-2014-Bundesliga,False,44,56
Koln-Hamburger-SV-August-23-2014-Bundesliga,True,46,54
Eintracht-Frankfurt-Freiburg-August-23-2014-Bundesliga,False,36,64
Hertha-BSC-Werder-Bremen-August-23-2014-Bundesliga,True,54,46
Dortmund-Bayer-Leverkusen-August-23-2014-Bundesliga,False,42,59
Paderborn-07-Mainz-05-August-24-2014-Bundesliga,True,39,61
Monchengladbach-Stuttgart-August-24-2014-Bundesliga,True,56,44
Augsburg-Dortmund-August-29-2014-Bundesliga,False,46,54
Wolfsburg-Eintracht-Frankfurt-August-30-2014-Bundesliga,True,64,36
Hamburger-SV-Paderborn-07-August-30-2014-Bundesliga,False,35,65
Stuttgart-Koln-August-30-2014-Bundesliga,False,32,68
Bayer-Leverkusen-Hertha-BSC-August-30-2014-Bundesliga,False,63,37
Werder-Bremen-Hoffenheim-August-30-2014-Bundesliga,True,50,50
Schalke-04-Bayern-Munich-August-30-2014-Bundesliga,True,35,65
Mainz-05-Hannover-96-August-31-2014-Bundesliga,True,52,48
Freiburg-Monchengladbach-August-31-2014-Bundesliga,True,56,44
Bayer-Leverkusen-Werder-Bremen-September-12-2014-Bundesliga,True,56,45
Bayern-Munich-Stuttgart-September-13-2014-Bundesliga,False,67,33
Hertha-BSC-Mainz-05-September-13-2014-Bundesliga,False,47,53
Hoffenheim-Wolfsburg-September-13-2014-Bundesliga,True,45,55
Dortmund-Freiburg-September-13-2014-Bundesliga,False,62,38
Paderborn-07-Koln-September-13-2014-Bundesliga,True,45,55
Monchengladbach-Schalke-04-September-13-2014-Bundesliga,False,46,54
Eintracht-Frankfurt-Augsburg-September-14-2014-Bundesliga,False,41,59
Hannover-96-Hamburger-SV-September-14-2014-Bundesliga,False,53,47
Freiburg-Hertha-BSC-September-19-2014-Bundesliga,True,52,48
Stuttgart-Hoffenheim-September-20-2014-Bundesliga,False,39,61
Schalke-04-Eintracht-Frankfurt-September-20-2014-Bundesliga,True,56,44
Hamburger-SV-Bayern-Munich-September-20-2014-Bundesliga,True,26,74
Paderborn-07-Hannover-96-September-20-2014-Bundesliga,False,40,60
Augsburg-Werder-Bremen-September-20-2014-Bundesliga,False,51,49
Mainz-05-Dortmund-September-20-2014-Bundesliga,False,36,64
Wolfsburg-Bayer-Leverkusen-September-21-2014-Bundesliga,False,64,37
Koln-Monchengladbach-September-21-2014-Bundesliga,True,38,62
Eintracht-Frankfurt-Mainz-05-September-23-2014-Bundesliga,True,53,47
Bayern-Munich-Paderborn-07-September-23-2014-Bundesliga,False,73,27
Werder-Bremen-Schalke-04-September-23-2014-Bundesliga,False,49,51
Hoffenheim-Freiburg-September-23-2014-Bundesliga,True,60,40
Hertha-BSC-Wolfsburg-September-24-2014-Bundesliga,False,30,70
Bayer-Leverkusen-Augsburg-September-24-2014-Bundesliga,False,51,49
Dortmund-Stuttgart-September-24-2014-Bundesliga,True,66,34
Monchengladbach-Hamburger-SV-September-24-2014-Bundesliga,False,50,50
Hannover-96-Koln-September-24-2014-Bundesliga,False,42,58
Mainz-05-Hoffenheim-September-26-2014-Bundesliga,True,60,40
Koln-Bayern-Munich-September-27-2014-Bundesliga,False,78,22
Revierderby-Schalke-04-Dortmund-September-27-2014-Bundesliga,False,45,55
Paderborn-07-Monchengladbach-September-27-2014-Bundesliga,False,57,43
Freiburg-Bayer-Leverkusen-September-27-2014-Bundesliga,True,57,43
Stuttgart-Hannover-96-September-27-2014-Bundesliga,False,54,46
Wolfsburg-Werder-Bremen-September-27-2014-Bundesliga,False,58,42
Augsburg-Hertha-BSC-September-28-2014-Bundesliga,False,51,49
Hamburger-SV-Eintracht-Frankfurt-September-28-2014-Bundesliga,False,33,67
Hertha-BSC-Stuttgart-October-3-2014-Bundesliga,False,43,58
Werder-Bremen-Freiburg-October-4-2014-Bundesliga,True,52,48
Hoffenheim-Schalke-04-October-4-2014-Bundesliga,False,41,59
Bayern-Munich-Hannover-96-October-4-2014-Bundesliga,False,70,30
Bayer-Leverkusen-Paderborn-07-October-4-2014-Bundesliga,True,64,36
Dortmund-Hamburger-SV-October-4-2014-Bundesliga,False,36,65
Eintracht-Frankfurt-Koln-October-4-2014-Bundesliga,False,52,48
Wolfsburg-Augsburg-October-5-2014-Bundesliga,False,54,46
Monchengladbach-Mainz-05-October-5-2014-Bundesliga,True,64,36
Koln-Dortmund-October-18-2014-Bundesliga,False,35,65
Bayern-Munich-Werder-Bremen-October-18-2014-Bundesliga,False,79,21
Hannover-96-Monchengladbach-October-18-2014-Bundesliga,False,47,53
Mainz-05-Augsburg-October-18-2014-Bundesliga,False,44,56
Stuttgart-Bayer-Leverkusen-October-18-2014-Bundesliga,True,52,48
Freiburg-Wolfsburg-October-18-2014-Bundesliga,False,43,57
Schalke-04-Hertha-BSC-October-18-2014-Bundesliga,False,45,55
Hamburger-SV-Hoffenheim-October-19-2014-Bundesliga,True,59,41
Paderborn-07-Eintracht-Frankfurt-October-19-2014-Bundesliga,False,47,53
Werder-Bremen-Koln-October-24-2014-Bundesliga,False,45,55
Hoffenheim-Paderborn-07-October-25-2014-Bundesliga,False,56,44
Dortmund-Hannover-96-October-25-2014-Bundesliga,False,47,53
Hertha-BSC-Hamburger-SV-October-25-2014-Bundesliga,False,42,58
Augsburg-Freiburg-October-25-2014-Bundesliga,False,39,61
Eintracht-Frankfurt-Stuttgart-October-25-2014-Bundesliga,False,49,51
Bayer-Leverkusen-Schalke-04-October-25-2014-Bundesliga,False,54,46
Wolfsburg-Mainz-05-October-26-2014-Bundesliga,False,53,47
Monchengladbach-Bayern-Munich-October-26-2014-Bundesliga,True,28,72
Schalke-04-Augsburg-October-31-2014-Bundesliga,False,45,55
Stuttgart-Wolfsburg-November-1-2014-Bundesliga,False,45,55
Mainz-05-Werder-Bremen-November-1-2014-Bundesliga,False,37,64
Hannover-96-Eintracht-Frankfurt-November-1-2014-Bundesliga,False,64,36
Hamburger-SV-Bayer-Leverkusen-November-1-2014-Bundesliga,False,41,59
Der-Klassiker-Bayern-Munich-Dortmund-November-1-2014-Bundesliga,False,65,35
Monchengladbach-Hoffenheim-November-2-2014-Bundesliga,False,44,56
Koln-Freiburg-November-2-2014-Bundesliga,False,39,61
Paderborn-07-Hertha-BSC-November-2-2014-Bundesliga,False,49,51
Hertha-BSC-Hannover-96-November-7-2014-Bundesliga,False,55,46
Freiburg-Schalke-04-November-8-2014-Bundesliga,False,37,63
Bayer-Leverkusen-Mainz-05-November-8-2014-Bundesliga,True,50,50
Hoffenheim-Koln-November-8-2014-Bundesliga,False,33,67
Augsburg-Paderborn-07-November-8-2014-Bundesliga,False,47,53
Eintracht-Frankfurt-Bayern-Munich-November-8-2014-Bundesliga,False,67,33
Werder-Bremen-Stuttgart-November-8-2014-Bundesliga,False,36,64
Wolfsburg-Hamburger-SV-November-9-2014-Bundesliga,False,51,49
Dortmund-Monchengladbach-November-9-2014-Bundesliga,False,52,48
Hannover-96-Bayer-Leverkusen-November-22-2014-Bundesliga,False,44,56
Schalke-04-Wolfsburg-November-22-2014-Bundesliga,False,37,63
Mainz-05-Freiburg-November-22-2014-Bundesliga,True,62,39
Monchengladbach-Eintracht-Frankfurt-November-22-2014-Bundesliga,False,45,55
Paderborn-07-Dortmund-November-22-2014-Bundesliga,True,37,63
Bayern-Munich-Hoffenheim-November-22-2014-Bundesliga,False,66,34
Koln-Hertha-BSC-November-22-2014-Bundesliga,False,40,60
Hamburger-SV-Werder-Bremen-November-23-2014-Bundesliga,False,62,38
Stuttgart-Augsburg-November-23-2014-Bundesliga,False,61,40
Freiburg-Stuttgart-November-28-2014-Bundesliga,False,42,59
Schalke-04-Mainz-05-November-29-2014-Bundesliga,False,42,58
Bayer-Leverkusen-Koln-November-29-2014-Bundesliga,False,63,37
Augsburg-Hamburger-SV-November-29-2014-Bundesliga,False,50,50
Hertha-BSC-Bayern-Munich-November-29-2014-Bundesliga,False,79,21
Werder-Bremen-Paderborn-07-November-29-2014-Bundesliga,False,54,46
Hoffenheim-Hannover-96-November-29-2014-Bundesliga,False,38,62
Wolfsburg-Monchengladbach-November-30-2014-Bundesliga,False,37,63
Eintracht-Frankfurt-Dortmund-November-30-2014-Bundesliga,False,46,54
Dortmund-Hoffenheim-December-5-2014-Bundesliga,False,53,47
Koln-Augsburg-December-6-2014-Bundesliga,False,66,34
Hannover-96-Wolfsburg-December-6-2014-Bundesliga,False,49,51
Stuttgart-Schalke-04-December-6-2014-Bundesliga,False,50,50
Paderborn-07-Freiburg-December-6-2014-Bundesliga,True,65,35
Monchengladbach-Hertha-BSC-December-6-2014-Bundesliga,False,55,45
Bayern-Munich-Bayer-Leverkusen-December-6-2014-Bundesliga,False,65,35
Hamburger-SV-Mainz-05-December-7-2014-Bundesliga,False,39,61
Eintracht-Frankfurt-Werder-Bremen-December-7-2014-Bundesliga,False,55,45
Hoffenheim-Eintracht-Frankfurt-December-12-2014-Bundesliga,False,48,52
Werder-Bremen-Hannover-96-December-13-2014-Bundesliga,True,47,53
Freiburg-Hamburger-SV-December-13-2014-Bundesliga,True,52,48
Schalke-04-Koln-December-13-2014-Bundesliga,False,37,63
Hertha-BSC-Dortmund-December-13-2014-Bundesliga,False,29,71
Augsburg-Bayern-Munich-December-13-2014-Bundesliga,False,73,27
Mainz-05-Stuttgart-December-13-2014-Bundesliga,True,57,43
Bayer-Leverkusen-Monchengladbach-December-14-2014-Bundesliga,True,58,43
Wolfsburg-Paderborn-07-December-14-2014-Bundesliga,True,71,29
Bayern-Munich-Freiburg-December-16-2014-Bundesliga,False,82,18
Koln-Mainz-05-December-16-2014-Bundesliga,True,53,47
Hannover-96-Augsburg-December-16-2014-Bundesliga,False,52,48
Hamburger-SV-Stuttgart-December-16-2014-Bundesliga,False,38,62
Hoffenheim-Bayer-Leverkusen-December-17-2014-Bundesliga,False,61,39
Monchengladbach-Werder-Bremen-December-17-2014-Bundesliga,False,59,41
Eintracht-Frankfurt-Hertha-BSC-December-17-2014-Bundesliga,True,72,28
Paderborn-07-Schalke-04-December-17-2014-Bundesliga,False,51,49
Dortmund-Wolfsburg-December-17-2014-Bundesliga,True,36,64
Mainz-05-Bayern-Munich-December-19-2014-Bundesliga,False,69,31
Werder-Bremen-Dortmund-December-20-2014-Bundesliga,False,31,69
Bayer-Leverkusen-Eintracht-Frankfurt-December-20-2014-Bundesliga,True,55,45
Augsburg-Monchengladbach-December-20-2014-Bundesliga,False,50,50
Schalke-04-Hamburger-SV-December-20-2014-Bundesliga,True,54,46
Stuttgart-Paderborn-07-December-20-2014-Bundesliga,True,41,60
Wolfsburg-Koln-December-20-2014-Bundesliga,False,63,37
Hertha-BSC-Hoffenheim-December-21-2014-Bundesliga,False,56,44
Freiburg-Hannover-96-December-21-2014-Bundesliga,True,41,59
Wolfsburg-Bayern-Munich-January-30-2015-Bundesliga,False,32,68
Freiburg-Eintracht-Frankfurt-January-31-2015-Bundesliga,False,50,50
Mainz-05-Paderborn-07-January-31-2015-Bundesliga,False,52,48
Schalke-04-Hannover-96-January-31-2015-Bundesliga,False,37,63
Stuttgart-Monchengladbach-January-31-2015-Bundesliga,False,58,42
Hamburger-SV-Koln-January-31-2015-Bundesliga,False,53,47
Bayer-Leverkusen-Dortmund-January-31-2015-Bundesliga,True,60,41
Werder-Bremen-Hertha-BSC-February-1-2015-Bundesliga,False,54,46
Augsburg-Hoffenheim-February-1-2015-Bundesliga,False,55,45
Bayern-Munich-Schalke-04-February-3-2015-Bundesliga,True,60,41
Eintracht-Frankfurt-Wolfsburg-February-3-2015-Bundesliga,True,45,55
Hannover-96-Mainz-05-February-3-2015-Bundesliga,True,56,44
Monchengladbach-Freiburg-February-3-2015-Bundesliga,False,33,67
Dortmund-Augsburg-February-4-2015-Bundesliga,False,48,52
Hertha-BSC-Bayer-Leverkusen-February-4-2015-Bundesliga,False,56,44
Paderborn-07-Hamburger-SV-February-4-2015-Bundesliga,False,38,62
Koln-Stuttgart-February-4-2015-Bundesliga,True,46,54
Hoffenheim-Werder-Bremen-February-4-2015-Bundesliga,False,34,66
Schalke-04-Monchengladbach-February-6-2015-Bundesliga,False,31,69
Freiburg-Dortmund-February-7-2015-Bundesliga,False,46,54
Koln-Paderborn-07-February-7-2015-Bundesliga,True,58,42
Mainz-05-Hertha-BSC-February-7-2015-Bundesliga,False,37,63
Wolfsburg-Hoffenheim-February-7-2015-Bundesliga,False,53,47
Stuttgart-Bayern-Munich-February-7-2015-Bundesliga,False,73,28
Hamburger-SV-Hannover-96-February-7-2015-Bundesliga,False,31,69
Werder-Bremen-Bayer-Leverkusen-February-8-2015-Bundesliga,False,37,63
Augsburg-Eintracht-Frankfurt-February-8-2015-Bundesliga,True,45,55
Dortmund-Mainz-05-February-13-2015-Bundesliga,False,55,45
Bayer-Leverkusen-Wolfsburg-February-14-2015-Bundesliga,False,55,45
Werder-Bremen-Augsburg-February-14-2015-Bundesliga,False,41,59
Bayern-Munich-Hamburger-SV-February-14-2015-Bundesliga,False,73,27
Monchengladbach-Koln-February-14-2015-Bundesliga,False,74,26
Hoffenheim-Stuttgart-February-14-2015-Bundesliga,False,46,54
Eintracht-Frankfurt-Schalke-04-February-14-2015-Bundesliga,False,55,45
Hertha-BSC-Freiburg-February-15-2015-Bundesliga,False,42,58
Hannover-96-Paderborn-07-February-15-2015-Bundesliga,False,31,69
Stuttgart-Dortmund-February-20-2015-Bundesliga,False,55,45
Paderborn-07-Bayern-Munich-February-21-2015-Bundesliga,False,78,22
Mainz-05-Eintracht-Frankfurt-February-21-2015-Bundesliga,False,47,53
Augsburg-Bayer-Leverkusen-February-21-2015-Bundesliga,True,61,39
Freiburg-Hoffenheim-February-21-2015-Bundesliga,True,59,41
Schalke-04-Werder-Bremen-February-21-2015-Bundesliga,True,55,45
Koln-Hannover-96-February-21-2015-Bundesliga,True,42,58
Hamburger-SV-Monchengladbach-February-22-2015-Bundesliga,True,44,56
Wolfsburg-Hertha-BSC-February-22-2015-Bundesliga,False,68,32
Bayern-Munich-Koln-February-27-2015-Bundesliga,False,78,23
Hertha-BSC-Augsburg-February-28-2015-Bundesliga,False,40,60
Hoffenheim-Mainz-05-February-28-2015-Bundesliga,False,55,46
Bayer-Leverkusen-Freiburg-February-28-2015-Bundesliga,False,54,46
Hannover-96-Stuttgart-February-28-2015-Bundesliga,True,53,48
Revierderby-Dortmund-Schalke-04-February-28-2015-Bundesliga,False,64,36
Eintracht-Frankfurt-Hamburger-SV-February-28-2015-Bundesliga,False,55,45
Monchengladbach-Paderborn-07-March-1-2015-Bundesliga,False,54,46
Werder-Bremen-Wolfsburg-March-1-2015-Bundesliga,False,58,42
Stuttgart-Hertha-BSC-March-6-2015-Bundesliga,True,71,29
Hannover-96-Bayern-Munich-March-7-2015-Bundesliga,False,79,22
Freiburg-Werder-Bremen-March-7-2015-Bundesliga,False,42,58
Schalke-04-Hoffenheim-March-7-2015-Bundesliga,False,56,44
Hamburger-SV-Dortmund-March-7-2015-Bundesliga,True,32,68
Augsburg-Wolfsburg-March-7-2015-Bundesliga,False,41,59
Mainz-05-Monchengladbach-March-7-2015-Bundesliga,True,44,56
Koln-Eintracht-Frankfurt-March-8-2015-Bundesliga,False,37,64
Paderborn-07-Bayer-Leverkusen-March-8-2015-Bundesliga,False,59,41
