mid,tie,w_poss,l_poss
San-Jose-Earthquakes-Colorado-Rapids-March-6-2016-Major-League-Soccer,False,42,58
Chicago-Fire-New-York-City-FC-March-6-2016-Major-League-Soccer,False,61,39
New-York-Red-Bulls-Toronto-FC-March-6-2016-Major-League-Soccer,False,37,63
Portland-Timbers-Columbus-Crew-March-6-2016-Major-League-Soccer,False,39,61
Orlando-City-Real-Salt-Lake-March-6-2016-Major-League-Soccer,True,53,47
FC-Dallas-Philadelphia-Union-March-6-2016-Major-League-Soccer,False,49,51
Houston-Dynamo-New-England-Revolution-March-6-2016-Major-League-Soccer,True,52,48
Vancouver-Whitecaps-FC-Montreal-Impact-March-6-2016-Major-League-Soccer,False,49,51
Seattle-Sounders-FC-Sporting-Kansas-City-March-6-2016-Major-League-Soccer,False,58,42
LA-Galaxy-DC-United-March-6-2016-Major-League-Soccer,False,58,42
Real-Salt-Lake-Seattle-Sounders-FC-March-12-2016-Major-League-Soccer,False,49,51
New-England-Revolution-DC-United-March-12-2016-Major-League-Soccer,True,60,40
Montreal-Impact-New-York-Red-Bulls-March-12-2016-Major-League-Soccer,False,49,51
Orlando-City-Chicago-Fire-March-11-2016-Major-League-Soccer,True,65,35
San-Jose-Earthquakes-Portland-Timbers-March-13-2016-Major-League-Soccer,False,54,46
New-York-City-FC-Toronto-FC-March-13-2016-Major-League-Soccer,True,57,43
Colorado-Rapids-LA-Galaxy-March-12-2016-Major-League-Soccer,False,58,42
Houston-Dynamo-FC-Dallas-March-12-2016-Major-League-Soccer,False,46,54
Columbus-Crew-Philadelphia-Union-March-12-2016-Major-League-Soccer,False,41,59
Sporting-Kansas-City-Vancouver-Whitecaps-FC-March-12-2016-Major-League-Soccer,False,68,32
New-York-City-FC-Orlando-City-March-18-2016-Major-League-Soccer,False,34,66
Chicago-Fire-Columbus-Crew-March-19-2016-Major-League-Soccer,True,42,58
New-York-Red-Bulls-Houston-Dynamo-March-19-2016-Major-League-Soccer,False,58,42
Philadelphia-Union-New-England-Revolution-March-20-2016-Major-League-Soccer,False,43,57
DC-United-Colorado-Rapids-March-20-2016-Major-League-Soccer,True,50,51
Sporting-Kansas-City-Toronto-FC-March-20-2016-Major-League-Soccer,False,51,49
Seattle-Sounders-FC-Vancouver-Whitecaps-FC-March-19-2016-Major-League-Soccer,False,40,60
California-Clasico-LA-Galaxy-San-Jose-Earthquakes-March-19-2016-Major-League-Soccer,False,64,36
Portland-Timbers-Real-Salt-Lake-March-19-2016-Major-League-Soccer,True,67,33
FC-Dallas-Montreal-Impact-March-19-2016-Major-League-Soccer,False,52,48
New-York-City-FC-New-England-Revolution-March-26-2016-Major-League-Soccer,True,63,37
DC-United-FC-Dallas-March-26-2016-Major-League-Soccer,False,48,52
Vancouver-Whitecaps-FC-Houston-Dynamo-March-26-2016-Major-League-Soccer,False,47,54
New-England-Revolution-New-York-Red-Bulls-April-1-2016-Major-League-Soccer,False,48,52
Chicago-Fire-Philadelphia-Union-April-2-2016-Major-League-Soccer,False,54,46
Colorado-Rapids-Toronto-FC-April-2-2016-Major-League-Soccer,False,56,45
Seattle-Sounders-FC-Montreal-Impact-April-2-2016-Major-League-Soccer,False,52,49
Vancouver-Whitecaps-FC-LA-Galaxy-April-2-2016-Major-League-Soccer,True,38,62
San-Jose-Earthquakes-DC-United-April-2-2016-Major-League-Soccer,True,57,43
Sporting-Kansas-City-Real-Salt-Lake-April-2-2016-Major-League-Soccer,False,37,63
FC-Dallas-Columbus-Crew-April-2-2016-Major-League-Soccer,True,46,54
Orlando-City-Portland-Timbers-April-3-2016-Major-League-Soccer,False,44,56
Philadelphia-Union-Orlando-City-April-8-2016-Major-League-Soccer,False,52,48
Montreal-Impact-Columbus-Crew-April-9-2016-Major-League-Soccer,False,49,51
New-England-Revolution-Toronto-FC-April-9-2016-Major-League-Soccer,True,40,60
DC-United-Vancouver-Whitecaps-FC-April-9-2016-Major-League-Soccer,False,48,52
New-York-Red-Bulls-Sporting-Kansas-City-April-9-2016-Major-League-Soccer,False,36,64
Houston-Dynamo-Seattle-Sounders-FC-April-10-2016-Major-League-Soccer,True,42,58
New-York-City-FC-Chicago-Fire-April-10-2016-Major-League-Soccer,True,57,43
Real-Salt-Lake-Colorado-Rapids-April-9-2016-Major-League-Soccer,False,58,42
FC-Dallas-San-Jose-Earthquakes-April-9-2016-Major-League-Soccer,True,58,42
LA-Galaxy-Portland-Timbers-April-10-2016-Major-League-Soccer,True,60,40
Portland-Timbers-FC-Dallas-April-13-2016-Major-League-Soccer,False,40,60
Sporting-Kansas-City-Colorado-Rapids-April-13-2016-Major-League-Soccer,False,35,65
San-Jose-Earthquakes-New-York-Red-Bulls-April-13-2016-Major-League-Soccer,False,42,58
Houston-Dynamo-LA-Galaxy-April-15-2016-Major-League-Soccer,False,43,57
Chicago-Fire-Montreal-Impact-April-16-2016-Major-League-Soccer,False,57,43
DC-United-Toronto-FC-April-16-2016-Major-League-Soccer,False,44,56
Columbus-Crew-New-York-City-FC-April-16-2016-Major-League-Soccer,False,48,53
Orlando-City-New-England-Revolution-April-17-2016-Major-League-Soccer,True,49,51
FC-Dallas-Sporting-Kansas-City-April-17-2016-Major-League-Soccer,False,48,52
Seattle-Sounders-FC-Philadelphia-Union-April-16-2016-Major-League-Soccer,False,48,52
Colorado-Rapids-New-York-Red-Bulls-April-16-2016-Major-League-Soccer,False,47,53
Portland-Timbers-San-Jose-Earthquakes-April-16-2016-Major-League-Soccer,False,37,63
Real-Salt-Lake-Vancouver-Whitecaps-FC-April-16-2016-Major-League-Soccer,False,52,48
Philadelphia-Union-New-York-City-FC-April-23-2016-Major-League-Soccer,False,35,65
Montreal-Impact-Toronto-FC-April-23-2016-Major-League-Soccer,False,47,53
DC-United-New-England-Revolution-April-23-2016-Major-League-Soccer,False,45,55
Columbus-Crew-Houston-Dynamo-April-23-2016-Major-League-Soccer,False,73,27
San-Jose-Earthquakes-Sporting-Kansas-City-April-24-2016-Major-League-Soccer,False,48,52
Colorado-Rapids-Seattle-Sounders-FC-April-23-2016-Major-League-Soccer,False,43,57
LA-Galaxy-Real-Salt-Lake-April-23-2016-Major-League-Soccer,False,47,53
Vancouver-Whitecaps-FC-FC-Dallas-April-23-2016-Major-League-Soccer,False,52,48
New-York-Red-Bulls-Orlando-City-April-24-2016-Major-League-Soccer,False,57,43
New-York-City-FC-Montreal-Impact-April-27-2016-Major-League-Soccer,True,55,45
New-England-Revolution-Portland-Timbers-April-27-2016-Major-League-Soccer,True,62,38
Vancouver-Whitecaps-FC-Sporting-Kansas-City-April-27-2016-Major-League-Soccer,True,49,51
New-York-Red-Bulls-FC-Dallas-April-29-2016-Major-League-Soccer,False,60,40
Seattle-Sounders-FC-Columbus-Crew-April-30-2016-Major-League-Soccer,False,50,50
Montreal-Impact-Colorado-Rapids-April-30-2016-Major-League-Soccer,True,54,46
Chicago-Fire-DC-United-April-30-2016-Major-League-Soccer,True,47,54
Philadelphia-Union-San-Jose-Earthquakes-April-30-2016-Major-League-Soccer,True,57,43
New-York-City-FC-Vancouver-Whitecaps-FC-April-30-2016-Major-League-Soccer,False,60,40
New-England-Revolution-Orlando-City-April-30-2016-Major-League-Soccer,True,48,52
Portland-Timbers-Toronto-FC-May-1-2016-Major-League-Soccer,False,42,58
Real-Salt-Lake-Houston-Dynamo-April-30-2016-Major-League-Soccer,False,59,41
Sporting-Kansas-City-LA-Galaxy-May-1-2016-Major-League-Soccer,True,67,34
Orlando-City-New-York-Red-Bulls-May-6-2016-Major-League-Soccer,True,50,50
Vancouver-Whitecaps-FC-Portland-Timbers-May-7-2016-Major-League-Soccer,False,57,43
Columbus-Crew-Montreal-Impact-May-7-2016-Major-League-Soccer,True,58,42
Toronto-FC-FC-Dallas-May-7-2016-Major-League-Soccer,False,49,51
LA-Galaxy-New-England-Revolution-May-8-2016-Major-League-Soccer,False,50,50
Seattle-Sounders-FC-San-Jose-Earthquakes-May-7-2016-Major-League-Soccer,False,53,47
Colorado-Rapids-Real-Salt-Lake-May-7-2016-Major-League-Soccer,False,45,55
Houston-Dynamo-Sporting-Kansas-City-May-7-2016-Major-League-Soccer,False,33,67
DC-United-New-York-City-FC-May-8-2016-Major-League-Soccer,False,55,45
Philadelphia-Union-LA-Galaxy-May-11-2016-Major-League-Soccer,True,51,49
Vancouver-Whitecaps-FC-Chicago-Fire-May-11-2016-Major-League-Soccer,False,60,40
Colorado-Rapids-Sporting-Kansas-City-May-11-2016-Major-League-Soccer,False,49,51
San-Jose-Earthquakes-Houston-Dynamo-May-11-2016-Major-League-Soccer,False,59,41
FC-Dallas-Portland-Timbers-May-11-2016-Major-League-Soccer,False,50,50
DC-United-New-York-Red-Bulls-May-13-2016-Major-League-Soccer,False,42,59
Montreal-Impact-Philadelphia-Union-May-14-2016-Major-League-Soccer,True,48,52
New-England-Revolution-Chicago-Fire-May-14-2016-Major-League-Soccer,False,51,49
Columbus-Crew-Colorado-Rapids-May-14-2016-Major-League-Soccer,True,50,50
Toronto-FC-Vancouver-Whitecaps-FC-May-14-2016-Major-League-Soccer,False,39,61
Houston-Dynamo-Real-Salt-Lake-May-15-2016-Major-League-Soccer,False,52,48
Sporting-Kansas-City-Orlando-City-May-15-2016-Major-League-Soccer,False,54,46
Portland-Timbers-New-York-City-FC-May-15-2016-Major-League-Soccer,False,39,61
FC-Dallas-Seattle-Sounders-FC-May-14-2016-Major-League-Soccer,False,42,58
Toronto-FC-New-York-City-FC-May-18-2016-Major-League-Soccer,True,56,44
New-York-Red-Bulls-Chicago-Fire-May-18-2016-Major-League-Soccer,False,65,35
Philadelphia-Union-DC-United-May-20-2016-Major-League-Soccer,False,51,49
New-York-City-FC-New-York-Red-Bulls-May-21-2016-Major-League-Soccer,False,43,57
Chicago-Fire-Houston-Dynamo-May-21-2016-Major-League-Soccer,False,37,63
Toronto-FC-Columbus-Crew-May-21-2016-Major-League-Soccer,True,44,56
New-England-Revolution-FC-Dallas-May-21-2016-Major-League-Soccer,False,44,56
Orlando-City-Montreal-Impact-May-21-2016-Major-League-Soccer,False,49,51
Portland-Timbers-Vancouver-Whitecaps-FC-May-22-2016-Major-League-Soccer,False,51,49
California-Clasico-LA-Galaxy-San-Jose-Earthquakes-May-22-2016-Major-League-Soccer,True,53,47
Seattle-Sounders-FC-Colorado-Rapids-May-21-2016-Major-League-Soccer,False,34,66
Sporting-Kansas-City-Real-Salt-Lake-May-21-2016-Major-League-Soccer,False,42,58
Orlando-City-Philadelphia-Union-May-25-2016-Major-League-Soccer,True,56,44
Vancouver-Whitecaps-FC-Houston-Dynamo-May-28-2016-Major-League-Soccer,True,57,43
New-York-Red-Bulls-Toronto-FC-May-28-2016-Major-League-Soccer,False,49,51
New-England-Revolution-Seattle-Sounders-FC-May-28-2016-Major-League-Soccer,False,50,50
Sporting-Kansas-City-DC-United-May-27-2016-Major-League-Soccer,False,42,58
New-York-City-FC-Orlando-City-May-29-2016-Major-League-Soccer,True,57,43
Colorado-Rapids-Philadelphia-Union-May-28-2016-Major-League-Soccer,True,61,39
San-Jose-Earthquakes-FC-Dallas-May-28-2016-Major-League-Soccer,True,47,54
Chicago-Fire-Portland-Timbers-May-28-2016-Major-League-Soccer,True,43,57
Montreal-Impact-LA-Galaxy-May-28-2016-Major-League-Soccer,False,37,63
Columbus-Crew-Real-Salt-Lake-May-28-2016-Major-League-Soccer,False,49,51
Philadelphia-Union-Columbus-Crew-June-1-2016-Major-League-Soccer,False,48,52
New-York-City-FC-Real-Salt-Lake-June-2-2016-Major-League-Soccer,False,44,56
Portland-Timbers-San-Jose-Earthquakes-June-1-2016-Major-League-Soccer,False,44,57
DC-United-Seattle-Sounders-FC-June-1-2016-Major-League-Soccer,False,54,46
LA-Galaxy-Sporting-Kansas-City-June-2-2016-Major-League-Soccer,True,63,37
FC-Dallas-Houston-Dynamo-June-2-2016-Major-League-Soccer,True,49,51
New-York-City-FC-Philadelphia-Union-June-18-2016-Major-League-Soccer,False,50,51
Vancouver-Whitecaps-FC-New-England-Revolution-June-18-2016-Major-League-Soccer,False,37,63
Toronto-FC-LA-Galaxy-June-18-2016-Major-League-Soccer,False,42,58
Columbus-Crew-Montreal-Impact-June-18-2016-Major-League-Soccer,True,61,39
Orlando-City-San-Jose-Earthquakes-June-18-2016-Major-League-Soccer,True,49,51
Sporting-Kansas-City-FC-Dallas-June-19-2016-Major-League-Soccer,False,42,58
Colorado-Rapids-Chicago-Fire-June-18-2016-Major-League-Soccer,False,56,44
New-York-Red-Bulls-Seattle-Sounders-FC-June-19-2016-Major-League-Soccer,False,49,52
Houston-Dynamo-DC-United-June-18-2016-Major-League-Soccer,True,53,47
Real-Salt-Lake-Portland-Timbers-June-18-2016-Major-League-Soccer,True,54,46
Philadelphia-Union-Chicago-Fire-June-22-2016-Major-League-Soccer,False,49,51
LA-Galaxy-Colorado-Rapids-June-22-2016-Major-League-Soccer,True,50,50
Real-Salt-Lake-New-York-Red-Bulls-June-22-2016-Major-League-Soccer,False,58,42
Seattle-Sounders-FC-New-York-City-FC-June-25-2016-Major-League-Soccer,False,49,51
Philadelphia-Union-Vancouver-Whitecaps-FC-June-25-2016-Major-League-Soccer,False,47,54
DC-United-New-England-Revolution-June-25-2016-Major-League-Soccer,False,49,51
Montreal-Impact-Sporting-Kansas-City-June-25-2016-Major-League-Soccer,True,51,49
Columbus-Crew-New-York-Red-Bulls-June-25-2016-Major-League-Soccer,True,53,47
Orlando-City-Toronto-FC-June-25-2016-Major-League-Soccer,False,59,41
Portland-Timbers-Houston-Dynamo-June-26-2016-Major-League-Soccer,False,50,50
California-Clasico-San-Jose-Earthquakes-LA-Galaxy-June-25-2016-Major-League-Soccer,True,51,49
FC-Dallas-Real-Salt-Lake-June-25-2016-Major-League-Soccer,False,60,40
Montreal-Impact-New-England-Revolution-July-2-2016-Major-League-Soccer,False,51,49
Chicago-Fire-San-Jose-Earthquakes-July-1-2016-Major-League-Soccer,False,41,59
Toronto-FC-Seattle-Sounders-FC-July-2-2016-Major-League-Soccer,True,49,51
Real-Salt-Lake-DC-United-July-1-2016-Major-League-Soccer,True,57,43
New-York-City-FC-New-York-Red-Bulls-July-3-2016-Major-League-Soccer,False,45,56
Sporting-Kansas-City-Columbus-Crew-July-3-2016-Major-League-Soccer,False,54,46
Houston-Dynamo-Philadelphia-Union-July-2-2016-Major-League-Soccer,False,52,48
Colorado-Rapids-Portland-Timbers-July-4-2016-Major-League-Soccer,True,63,37
LA-Galaxy-Vancouver-Whitecaps-FC-July-4-2016-Major-League-Soccer,False,51,49
FC-Dallas-Orlando-City-July-4-2016-Major-League-Soccer,False,56,44
New-England-Revolution-New-York-City-FC-July-6-2016-Major-League-Soccer,False,56,44
Seattle-Sounders-FC-LA-Galaxy-July-9-2016-Major-League-Soccer,False,39,61
Philadelphia-Union-DC-United-July-9-2016-Major-League-Soccer,False,60,40
New-England-Revolution-Columbus-Crew-July-9-2016-Major-League-Soccer,False,40,60
Toronto-FC-Chicago-Fire-July-9-2016-Major-League-Soccer,False,52,48
San-Jose-Earthquakes-FC-Dallas-July-8-2016-Major-League-Soccer,False,46,54
Orlando-City-Houston-Dynamo-July-8-2016-Major-League-Soccer,True,62,38
New-York-Red-Bulls-Portland-Timbers-July-10-2016-Major-League-Soccer,True,63,38
Vancouver-Whitecaps-FC-Colorado-Rapids-July-9-2016-Major-League-Soccer,True,40,60
Real-Salt-Lake-Montreal-Impact-July-9-2016-Major-League-Soccer,True,69,31
Sporting-Kansas-City-New-York-City-FC-July-10-2016-Major-League-Soccer,False,67,33
Columbus-Crew-Toronto-FC-July-13-2016-Major-League-Soccer,True,68,33
New-York-Red-Bulls-Orlando-City-July-13-2016-Major-League-Soccer,False,56,44
Vancouver-Whitecaps-FC-Real-Salt-Lake-July-13-2016-Major-League-Soccer,False,54,46
Chicago-Fire-Sporting-Kansas-City-July-13-2016-Major-League-Soccer,False,33,67
Seattle-Sounders-FC-FC-Dallas-July-13-2016-Major-League-Soccer,False,62,38
Portland-Timbers-Montreal-Impact-July-13-2016-Major-League-Soccer,True,47,53
Columbus-Crew-DC-United-July-16-2016-Major-League-Soccer,True,55,45
LA-Galaxy-Houston-Dynamo-July-15-2016-Major-League-Soccer,False,51,49
