mid,tie,w_poss,l_poss
Union-Boca-Juniors-July-16-2021-Liga-Profesional-Argentina,True,55,45
Aldosivi-Patronato-July-17-2021-Liga-Profesional-Argentina,False,29,71
Lanus-Atletico-Tucuman-July-17-2021-Liga-Profesional-Argentina,False,49,51
Newells-Old-Boys-Talleres-July-17-2021-Liga-Profesional-Argentina,False,54,46
Gimnasia-y-Esgrima-LP-Platense-July-17-2021-Liga-Profesional-Argentina,True,66,34
Velez-Sarsfield-Racing-Club-July-17-2021-Liga-Profesional-Argentina,True,51,49
Sarmiento-Estudiantes-LP-July-16-2021-Liga-Profesional-Argentina,False,52,48
Huracan-Defensa-y-Justicia-July-18-2021-Liga-Profesional-Argentina,False,33,67
Arsenal-de-Sarandi-San-Lorenzo-July-18-2021-Liga-Profesional-Argentina,True,52,48
River-Plate-Colon-July-18-2021-Liga-Profesional-Argentina,False,26,74
Independiente-Argentinos-Juniors-July-18-2021-Liga-Profesional-Argentina,True,49,51
Central-Cordoba-SdE-Banfield-July-19-2021-Liga-Profesional-Argentina,True,42,58
Godoy-Cruz-Rosario-Central-July-19-2021-Liga-Profesional-Argentina,False,57,43
Atletico-Tucuman-Huracan-July-23-2021-Liga-Profesional-Argentina,False,44,56
Colon-Lanus-July-24-2021-Liga-Profesional-Argentina,False,38,62
San-Lorenzo-Central-Cordoba-SdE-July-24-2021-Liga-Profesional-Argentina,False,48,52
Racing-Club-Gimnasia-y-Esgrima-LP-July-24-2021-Liga-Profesional-Argentina,True,63,37
Banfield-Boca-Juniors-July-24-2021-Liga-Profesional-Argentina,True,54,46
Platense-Aldosivi-July-23-2021-Liga-Profesional-Argentina,False,62,38
Patronato-Sarmiento-July-25-2021-Liga-Profesional-Argentina,False,39,61
Defensa-y-Justicia-Godoy-Cruz-July-25-2021-Liga-Profesional-Argentina,False,49,51
Rosario-Central-Velez-Sarsfield-July-25-2021-Liga-Profesional-Argentina,False,54,46
River-Plate-Union-July-25-2021-Liga-Profesional-Argentina,False,74,26
Estudiantes-LP-Independiente-July-25-2021-Liga-Profesional-Argentina,False,50,50
Talleres-Arsenal-de-Sarandi-July-26-2021-Liga-Profesional-Argentina,False,58,42
Argentinos-Juniors-Newells-Old-Boys-July-26-2021-Liga-Profesional-Argentina,False,73,27
Huracan-Colon-July-27-2021-Liga-Profesional-Argentina,True,53,47
Aldosivi-Racing-Club-July-27-2021-Liga-Profesional-Argentina,False,51,49
Godoy-Cruz-Atletico-Tucuman-July-28-2021-Liga-Profesional-Argentina,False,45,55
Union-Banfield-July-28-2021-Liga-Profesional-Argentina,False,55,45
Sarmiento-Platense-July-28-2021-Liga-Profesional-Argentina,False,61,39
Velez-Sarsfield-Defensa-y-Justicia-July-28-2021-Liga-Profesional-Argentina,True,71,29
Independiente-Patronato-July-28-2021-Liga-Profesional-Argentina,False,62,38
Boca-Juniors-San-Lorenzo-July-27-2021-Liga-Profesional-Argentina,False,41,59
Central-Cordoba-SdE-Talleres-July-29-2021-Liga-Profesional-Argentina,False,27,73
Arsenal-de-Sarandi-Argentinos-Juniors-July-29-2021-Liga-Profesional-Argentina,False,34,66
Gimnasia-y-Esgrima-LP-Rosario-Central-July-29-2021-Liga-Profesional-Argentina,False,38,62
Lanus-River-Plate-July-28-2021-Liga-Profesional-Argentina,False,62,38
Newells-Old-Boys-Estudiantes-LP-July-29-2021-Liga-Profesional-Argentina,False,54,46
Colon-Godoy-Cruz-July-31-2021-Liga-Profesional-Argentina,False,55,45
Lanus-Union-July-31-2021-Liga-Profesional-Argentina,True,44,56
Racing-Club-Sarmiento-July-31-2021-Liga-Profesional-Argentina,False,72,28
Platense-Independiente-July-31-2021-Liga-Profesional-Argentina,True,28,72
Defensa-y-Justicia-Gimnasia-y-Esgrima-LP-August-1-2021-Liga-Profesional-Argentina,False,63,37
Talleres-Boca-Juniors-August-1-2021-Liga-Profesional-Argentina,True,45,55
River-Plate-Huracan-August-1-2021-Liga-Profesional-Argentina,True,73,27
San-Lorenzo-Banfield-August-1-2021-Liga-Profesional-Argentina,True,53,47
Argentinos-Juniors-Central-Cordoba-SdE-August-2-2021-Liga-Profesional-Argentina,True,70,30
Patronato-Newells-Old-Boys-August-2-2021-Liga-Profesional-Argentina,True,43,57
Estudiantes-LP-Arsenal-de-Sarandi-August-2-2021-Liga-Profesional-Argentina,False,52,48
Rosario-Central-Aldosivi-August-2-2021-Liga-Profesional-Argentina,False,44,56
Atletico-Tucuman-Velez-Sarsfield-August-2-2021-Liga-Profesional-Argentina,True,37,63
Sarmiento-Rosario-Central-August-6-2021-Liga-Profesional-Argentina,False,41,59
Banfield-Talleres-August-7-2021-Liga-Profesional-Argentina,False,47,53
Union-San-Lorenzo-August-7-2021-Liga-Profesional-Argentina,False,37,63
Huracan-Lanus-August-7-2021-Liga-Profesional-Argentina,False,41,59
Godoy-Cruz-River-Plate-August-7-2021-Liga-Profesional-Argentina,False,44,56
Newells-Old-Boys-Platense-August-6-2021-Liga-Profesional-Argentina,False,66,34
Gimnasia-y-Esgrima-LP-Atletico-Tucuman-August-8-2021-Liga-Profesional-Argentina,False,55,45
Velez-Sarsfield-Colon-August-8-2021-Liga-Profesional-Argentina,False,46,54
Boca-Juniors-Argentinos-Juniors-August-8-2021-Liga-Profesional-Argentina,True,61,39
Independiente-Racing-Club-August-8-2021-Liga-Profesional-Argentina,False,41,59
Aldosivi-Defensa-y-Justicia-August-9-2021-Liga-Profesional-Argentina,False,61,39
Arsenal-de-Sarandi-Patronato-August-9-2021-Liga-Profesional-Argentina,True,49,51
Central-Cordoba-SdE-Estudiantes-LP-August-9-2021-Liga-Profesional-Argentina,False,49,51
Colon-Gimnasia-y-Esgrima-LP-August-13-2021-Liga-Profesional-Argentina,False,61,39
Atletico-Tucuman-Aldosivi-August-14-2021-Liga-Profesional-Argentina,True,59,41
Argentinos-Juniors-Banfield-August-14-2021-Liga-Profesional-Argentina,False,57,43
River-Plate-Velez-Sarsfield-August-14-2021-Liga-Profesional-Argentina,False,46,54
Rosario-Central-Independiente-August-14-2021-Liga-Profesional-Argentina,False,60,40
Huracan-Union-August-13-2021-Liga-Profesional-Argentina,True,54,46
Patronato-Central-Cordoba-SdE-August-15-2021-Liga-Profesional-Argentina,False,41,59
Platense-Arsenal-de-Sarandi-August-15-2021-Liga-Profesional-Argentina,False,43,57
Estudiantes-LP-Boca-Juniors-August-15-2021-Liga-Profesional-Argentina,False,36,64
Racing-Club-Newells-Old-Boys-August-15-2021-Liga-Profesional-Argentina,False,48,52
Talleres-San-Lorenzo-August-16-2021-Liga-Profesional-Argentina,False,55,45
Defensa-y-Justicia-Sarmiento-August-16-2021-Liga-Profesional-Argentina,False,53,47
Lanus-Godoy-Cruz-August-16-2021-Liga-Profesional-Argentina,False,47,53
Aldosivi-Colon-August-20-2021-Liga-Profesional-Argentina,False,39,61
Banfield-Estudiantes-LP-August-20-2021-Liga-Profesional-Argentina,True,67,33
Sarmiento-Atletico-Tucuman-August-20-2021-Liga-Profesional-Argentina,False,46,54
Central-Cordoba-SdE-Platense-August-21-2021-Liga-Profesional-Argentina,True,54,46
Godoy-Cruz-Huracan-August-21-2021-Liga-Profesional-Argentina,True,52,48
Velez-Sarsfield-Lanus-August-21-2021-Liga-Profesional-Argentina,False,53,47
Arsenal-de-Sarandi-Racing-Club-August-21-2021-Liga-Profesional-Argentina,False,48,52
Boca-Juniors-Patronato-August-21-2021-Liga-Profesional-Argentina,False,70,30
Independiente-Defensa-y-Justicia-August-20-2021-Liga-Profesional-Argentina,True,53,47
Union-Talleres-August-22-2021-Liga-Profesional-Argentina,False,51,49
Newells-Old-Boys-Rosario-Central-August-22-2021-Liga-Profesional-Argentina,True,51,49
San-Lorenzo-Argentinos-Juniors-August-22-2021-Liga-Profesional-Argentina,False,60,40
Gimnasia-y-Esgrima-LP-River-Plate-August-22-2021-Liga-Profesional-Argentina,True,36,64
