mid,tie,w_poss,l_poss
Antwerp-Anderlecht-July-28-2017-Belgian-First-Division-A,True,35,65
Lokeren-Club-Brugge-July-29-2017-Belgian-First-Division-A,False,48,52
Eupen-Zulte-Waregem-July-29-2017-Belgian-First-Division-A,False,41,59
Genk-Waasland-Beveren-July-29-2017-Belgian-First-Division-A,True,53,47
Charleroi-Kortrijk-July-29-2017-Belgian-First-Division-A,False,42,58
Mechelen-Standard-Liege-July-30-2017-Belgian-First-Division-A,True,55,45
Sint-Truiden-Gent-July-30-2017-Belgian-First-Division-A,False,42,58
Oostende-Excel-Mouscron-July-30-2017-Belgian-First-Division-A,False,42,58
Standard-Liege-Genk-August-4-2017-Belgian-First-Division-A,False,45,55
Excel-Mouscron-Charleroi-August-5-2017-Belgian-First-Division-A,False,38,62
Waasland-Beveren-Mechelen-August-5-2017-Belgian-First-Division-A,True,52,48
Kortrijk-Lokeren-August-5-2017-Belgian-First-Division-A,False,55,45
Zulte-Waregem-Sint-Truiden-August-5-2017-Belgian-First-Division-A,False,56,44
Gent-Antwerp-August-6-2017-Belgian-First-Division-A,False,30,70
Anderlecht-Oostende-August-6-2017-Belgian-First-Division-A,False,55,45
Club-Brugge-Eupen-August-6-2017-Belgian-First-Division-A,False,62,38
Zulte-Waregem-Club-Brugge-August-11-2017-Belgian-First-Division-A,False,39,61
Mechelen-Gent-August-12-2017-Belgian-First-Division-A,True,44,56
Lokeren-Excel-Mouscron-August-12-2017-Belgian-First-Division-A,False,53,47
Eupen-Kortrijk-August-12-2017-Belgian-First-Division-A,False,46,54
Oostende-Waasland-Beveren-August-12-2017-Belgian-First-Division-A,False,37,63
Antwerp-Genk-August-13-2017-Belgian-First-Division-A,False,50,50
Charleroi-Anderlecht-August-13-2017-Belgian-First-Division-A,False,42,58
Sint-Truiden-Standard-Liege-August-13-2017-Belgian-First-Division-A,False,55,45
Standard-Liege-Zulte-Waregem-August-18-2017-Belgian-First-Division-A,False,60,40
Genk-Charleroi-August-19-2017-Belgian-First-Division-A,False,37,63
Waasland-Beveren-Lokeren-August-19-2017-Belgian-First-Division-A,False,37,63
Eupen-Oostende-August-19-2017-Belgian-First-Division-A,False,43,57
Mechelen-Antwerp-August-19-2017-Belgian-First-Division-A,False,45,55
Anderlecht-Sint-Truiden-August-20-2017-Belgian-First-Division-A,False,37,63
Kortrijk-Club-Brugge-August-20-2017-Belgian-First-Division-A,False,40,60
Excel-Mouscron-Gent-August-20-2017-Belgian-First-Division-A,False,54,46
Kortrijk-Excel-Mouscron-August-25-2017-Belgian-First-Division-A,True,51,49
Charleroi-Zulte-Waregem-August-26-2017-Belgian-First-Division-A,False,52,48
Lokeren-Eupen-August-26-2017-Belgian-First-Division-A,False,48,52
Sint-Truiden-Waasland-Beveren-August-26-2017-Belgian-First-Division-A,False,45,55
