mid,tie,w_poss,l_poss
Chapecoense-Coritiba-May-9-2015-Serie-A,False,47,53
Palmeiras-Atletico-Mineiro-May-9-2015-Serie-A,True,49,51
Gremio-Ponte-Preta-May-10-2015-Serie-A,True,56,44
Cruzeiro-Corinthians-May-10-2015-Serie-A,False,44,56
Sport-Recife-Figueirense-May-10-2015-Serie-A,False,54,46
Sao-Paulo-Flamengo-May-10-2015-Serie-A,False,54,46
Athletico-Paranaense-Internacional-May-10-2015-Serie-A,False,39,61
Avai-Santos-May-10-2015-Serie-A,True,51,49
Vasco-da-Gama-Goias-May-10-2015-Serie-A,True,62,38
Fluminense-Joinville-May-9-2015-Serie-A,False,74,26
Coritiba-Gremio-May-16-2015-Serie-A,False,44,56
Goias-Athletico-Paranaense-May-16-2015-Serie-A,False,41,59
Figueirense-Vasco-da-Gama-May-17-2015-Serie-A,True,47,53
Flamengo-Sport-Recife-May-17-2015-Serie-A,True,58,42
Atletico-Mineiro-Fluminense-May-17-2015-Serie-A,False,53,47
Santos-Cruzeiro-May-17-2015-Serie-A,False,45,55
Joinville-Palmeiras-May-17-2015-Serie-A,True,40,60
Internacional-Avai-May-17-2015-Serie-A,False,57,43
Ponte-Preta-Sao-Paulo-May-17-2015-Serie-A,False,41,59
Corinthians-Chapecoense-May-16-2015-Serie-A,False,46,54
Sao-Paulo-Joinville-May-23-2015-Serie-A,False,63,37
Vasco-da-Gama-Internacional-May-23-2015-Serie-A,True,61,39
Palmeiras-Goias-May-24-2015-Serie-A,False,34,66
Chapecoense-Santos-May-24-2015-Serie-A,False,40,60
Avai-Flamengo-May-24-2015-Serie-A,False,44,56
Athletico-Paranaense-Atletico-Mineiro-May-24-2015-Serie-A,False,36,64
Fluminense-Corinthians-May-24-2015-Serie-A,True,43,57
Cruzeiro-Ponte-Preta-May-24-2015-Serie-A,True,53,47
Sport-Recife-Coritiba-May-24-2015-Serie-A,False,50,50
Gremio-Figueirense-May-23-2015-Serie-A,False,62,38
Coritiba-Avai-May-30-2015-Serie-A,False,41,59
Ponte-Preta-Chapecoense-May-30-2015-Serie-A,False,47,53
Santos-Sport-Recife-May-31-2015-Serie-A,True,59,41
Goias-Gremio-May-31-2015-Serie-A,True,41,59
Atletico-Mineiro-Vasco-da-Gama-May-31-2015-Serie-A,False,52,48
Corinthians-Palmeiras-May-31-2015-Serie-A,False,46,54
Internacional-Sao-Paulo-May-31-2015-Serie-A,True,54,46
Flamengo-Fluminense-May-31-2015-Serie-A,False,34,66
Figueirense-Cruzeiro-May-31-2015-Serie-A,False,33,67
Joinville-Athletico-Paranaense-May-30-2015-Serie-A,False,46,54
Chapecoense-Joinville-June-3-2015-Serie-A,False,53,47
Vasco-da-Gama-Ponte-Preta-June-3-2015-Serie-A,False,49,51
Athletico-Paranaense-Figueirense-June-3-2015-Serie-A,False,48,52
Fluminense-Coritiba-June-4-2015-Serie-A,False,50,50
Sao-Paulo-Santos-June-3-2015-Serie-A,False,63,37
