mid,tie,w_poss,l_poss
Bochum-St-Pauli-July-28-2017-2-Bundesliga,False,38,62
Ingolstadt-04-Union-Berlin-July-29-2017-2-Bundesliga,False,54,46
Darmstadt-98-Greuther-Furth-July-29-2017-2-Bundesliga,False,52,48
Arminia-Jahn-Regensburg-July-29-2017-2-Bundesliga,False,54,46
Nurnberg-Kaiserslautern-July-30-2017-2-Bundesliga,False,49,51
Holstein-Kiel-Sandhausen-July-30-2017-2-Bundesliga,True,60,40
Dresden-MSV-Duisburg-July-30-2017-2-Bundesliga,False,62,38
Dusseldorf-Eintracht-Braunschweig-July-31-2017-2-Bundesliga,True,54,46
Sandhausen-Ingolstadt-04-August-4-2017-2-Bundesliga,False,52,48
Union-Berlin-Holstein-Kiel-August-4-2017-2-Bundesliga,False,54,46
Kaiserslautern-Darmstadt-98-August-4-2017-2-Bundesliga,True,32,68
MSV-Duisburg-Bochum-August-5-2017-2-Bundesliga,True,46,54
Eintracht-Braunschweig-Heidenheim-August-5-2017-2-Bundesliga,False,35,65
Jahn-Regensburg-Nurnberg-August-6-2017-2-Bundesliga,False,52,48
Greuther-Furth-Arminia-August-6-2017-2-Bundesliga,False,37,63
Erzgebirge-Aue-Dusseldorf-August-6-2017-2-Bundesliga,False,41,59
St-Pauli-Dresden-August-7-2017-2-Bundesliga,True,46,54
Heidenheim-Erzgebirge-Aue-August-9-2017-2-Bundesliga,False,50,50
Eintracht-Braunschweig-Erzgebirge-Aue-August-18-2017-2-Bundesliga,True,46,54
Darmstadt-98-St-Pauli-August-18-2017-2-Bundesliga,False,33,67
Dresden-Sandhausen-August-19-2017-2-Bundesliga,False,36,64
Heidenheim-MSV-Duisburg-August-19-2017-2-Bundesliga,False,43,57
Dusseldorf-Kaiserslautern-August-19-2017-2-Bundesliga,False,59,41
Ingolstadt-04-Jahn-Regensburg-August-20-2017-2-Bundesliga,False,57,43
Nurnberg-Union-Berlin-August-20-2017-2-Bundesliga,True,59,41
Holstein-Kiel-Greuther-Furth-August-20-2017-2-Bundesliga,False,51,49
Arminia-Bochum-August-21-2017-2-Bundesliga,False,40,60
Greuther-Furth-Ingolstadt-04-August-25-2017-2-Bundesliga,False,44,56
MSV-Duisburg-Darmstadt-98-August-25-2017-2-Bundesliga,False,56,44
Jahn-Regensburg-Holstein-Kiel-August-26-2017-2-Bundesliga,False,49,51
Erzgebirge-Aue-Nurnberg-August-26-2017-2-Bundesliga,False,49,51
St-Pauli-Heidenheim-August-26-2017-2-Bundesliga,False,59,41
Union-Berlin-Arminia-August-27-2017-2-Bundesliga,True,59,41
Sandhausen-Dusseldorf-August-27-2017-2-Bundesliga,False,50,50
Bochum-Dresden-August-27-2017-2-Bundesliga,False,39,61
Kaiserslautern-Eintracht-Braunschweig-August-28-2017-2-Bundesliga,True,54,46
Heidenheim-Jahn-Regensburg-September-8-2017-2-Bundesliga,False,48,52
Dresden-Greuther-Furth-September-8-2017-2-Bundesliga,True,58,42
Ingolstadt-04-Erzgebirge-Aue-September-9-2017-2-Bundesliga,False,40,60
Arminia-MSV-Duisburg-September-9-2017-2-Bundesliga,False,47,53
Holstein-Kiel-Kaiserslautern-September-9-2017-2-Bundesliga,False,58,42
Darmstadt-98-Bochum-September-10-2017-2-Bundesliga,False,59,41
Dusseldorf-Union-Berlin-September-10-2017-2-Bundesliga,False,43,57
Eintracht-Braunschweig-Sandhausen-September-10-2017-2-Bundesliga,True,51,49
Nurnberg-St-Pauli-September-11-2017-2-Bundesliga,False,44,56
Union-Berlin-Eintracht-Braunschweig-September-15-2017-2-Bundesliga,True,58,42
Erzgebirge-Aue-Holstein-Kiel-September-15-2017-2-Bundesliga,False,41,59
MSV-Duisburg-Nurnberg-September-16-2017-2-Bundesliga,False,42,58
Sandhausen-Kaiserslautern-September-16-2017-2-Bundesliga,False,50,50
St-Pauli-Ingolstadt-04-September-16-2017-2-Bundesliga,False,46,54
Darmstadt-98-Arminia-September-17-2017-2-Bundesliga,False,41,59
Bochum-Heidenheim-September-17-2017-2-Bundesliga,False,32,68
Greuther-Furth-Dusseldorf-September-17-2017-2-Bundesliga,False,57,43
Jahn-Regensburg-Dresden-September-17-2017-2-Bundesliga,False,56,44
Sandhausen-Union-Berlin-September-19-2017-2-Bundesliga,False,42,58
Kaiserslautern-Erzgebirge-Aue-September-19-2017-2-Bundesliga,False,51,49
Ingolstadt-04-MSV-Duisburg-September-19-2017-2-Bundesliga,True,59,41
Holstein-Kiel-St-Pauli-September-19-2017-2-Bundesliga,False,39,61
Dusseldorf-Jahn-Regensburg-September-20-2017-2-Bundesliga,False,51,49
Heidenheim-Darmstadt-98-September-20-2017-2-Bundesliga,True,45,55
Eintracht-Braunschweig-Greuther-Furth-September-20-2017-2-Bundesliga,False,41,59
Dresden-Arminia-September-20-2017-2-Bundesliga,False,45,55
Nurnberg-Bochum-September-21-2017-2-Bundesliga,False,45,55
Erzgebirge-Aue-Sandhausen-September-22-2017-2-Bundesliga,False,46,54
MSV-Duisburg-Holstein-Kiel-September-22-2017-2-Bundesliga,False,53,47
Arminia-Heidenheim-September-23-2017-2-Bundesliga,True,63,37
Jahn-Regensburg-Eintracht-Braunschweig-September-23-2017-2-Bundesliga,False,65,35
St-Pauli-Dusseldorf-September-23-2017-2-Bundesliga,False,40,60
Bochum-Ingolstadt-04-September-24-2017-2-Bundesliga,False,44,56
Darmstadt-98-Dresden-September-24-2017-2-Bundesliga,True,62,38
Greuther-Furth-Nurnberg-September-24-2017-2-Bundesliga,False,41,59
Union-Berlin-Kaiserslautern-September-25-2017-2-Bundesliga,False,54,46
Kaiserslautern-Greuther-Furth-September-29-2017-2-Bundesliga,False,40,60
Ingolstadt-04-Darmstadt-98-September-29-2017-2-Bundesliga,False,50,50
Holstein-Kiel-Bochum-September-30-2017-2-Bundesliga,False,60,40
Erzgebirge-Aue-Union-Berlin-September-30-2017-2-Bundesliga,False,46,54
Nurnberg-Arminia-September-30-2017-2-Bundesliga,False,39,61
Eintracht-Braunschweig-St-Pauli-October-1-2017-2-Bundesliga,False,56,44
Sandhausen-Jahn-Regensburg-October-1-2017-2-Bundesliga,False,52,48
Heidenheim-Dresden-October-1-2017-2-Bundesliga,False,52,48
Dusseldorf-MSV-Duisburg-October-2-2017-2-Bundesliga,False,42,58
MSV-Duisburg-Eintracht-Braunschweig-October-13-2017-2-Bundesliga,True,49,51
St-Pauli-Kaiserslautern-October-13-2017-2-Bundesliga,True,64,36
Arminia-Dusseldorf-October-14-2017-2-Bundesliga,False,46,54
Bochum-Sandhausen-October-14-2017-2-Bundesliga,False,48,52
Dresden-Ingolstadt-04-October-14-2017-2-Bundesliga,True,59,41
Jahn-Regensburg-Union-Berlin-October-15-2017-2-Bundesliga,False,46,54
Heidenheim-Holstein-Kiel-October-15-2017-2-Bundesliga,False,60,40
Greuther-Furth-Erzgebirge-Aue-October-15-2017-2-Bundesliga,False,52,48
Darmstadt-98-Nurnberg-October-16-2017-2-Bundesliga,False,48,52
Dusseldorf-Darmstadt-98-October-20-2017-2-Bundesliga,False,60,40
Ingolstadt-04-Heidenheim-October-20-2017-2-Bundesliga,False,59,41
Eintracht-Braunschweig-Bochum-October-21-2017-2-Bundesliga,False,36,64
Holstein-Kiel-Arminia-October-21-2017-2-Bundesliga,False,43,57
Union-Berlin-Greuther-Furth-October-21-2017-2-Bundesliga,False,45,55
Kaiserslautern-MSV-Duisburg-October-22-2017-2-Bundesliga,False,53,47
Erzgebirge-Aue-Jahn-Regensburg-October-22-2017-2-Bundesliga,False,46,54
Nurnberg-Dresden-October-22-2017-2-Bundesliga,False,41,59
Sandhausen-St-Pauli-October-23-2017-2-Bundesliga,True,49,51
Arminia-Ingolstadt-04-October-27-2017-2-Bundesliga,False,48,52
St-Pauli-Erzgebirge-Aue-October-27-2017-2-Bundesliga,True,53,47
