mid,tie,w_poss,l_poss
NEC-Nijmegen-Zwolle-August-5-2016-Eredivisie,True,38,62
ADO-Den-Haag-Go-Ahead-Eagles-August-6-2016-Eredivisie,False,41,59
Utrecht-PSV-Eindhoven-August-6-2016-Eredivisie,False,50,50
Twente-Excelsior-August-6-2016-Eredivisie,False,32,69
Willem-II-Vitesse-August-6-2016-Eredivisie,False,52,48
Groningen-Feyenoord-August-7-2016-Eredivisie,False,57,43
AZ-Alkmaar-Heerenveen-August-7-2016-Eredivisie,True,48,52
Sparta-Rotterdam-Ajax-August-7-2016-Eredivisie,False,72,29
Roda-JC-Kerkrade-Heracles-Almelo-August-7-2016-Eredivisie,True,51,49
Heerenveen-Utrecht-August-12-2016-Eredivisie,True,49,51
Excelsior-Groningen-August-13-2016-Eredivisie,False,38,63
Vitesse-ADO-Den-Haag-August-13-2016-Eredivisie,False,35,66
Ajax-Roda-JC-Kerkrade-August-13-2016-Eredivisie,True,73,27
Zwolle-Sparta-Rotterdam-August-13-2016-Eredivisie,False,35,65
Heracles-Almelo-Willem-II-August-14-2016-Eredivisie,False,58,42
Feyenoord-Twente-August-14-2016-Eredivisie,False,59,41
Go-Ahead-Eagles-NEC-Nijmegen-August-14-2016-Eredivisie,True,51,49
PSV-Eindhoven-AZ-Alkmaar-August-14-2016-Eredivisie,False,64,36
Excelsior-ADO-Den-Haag-August-19-2016-Eredivisie,False,44,56
Roda-JC-Kerkrade-Vitesse-August-20-2016-Eredivisie,False,48,52
Ajax-Willem-II-August-20-2016-Eredivisie,False,30,70
Zwolle-PSV-Eindhoven-August-20-2016-Eredivisie,False,49,51
NEC-Nijmegen-Heerenveen-August-20-2016-Eredivisie,False,29,71
Groningen-Twente-August-21-2016-Eredivisie,False,51,49
Sparta-Rotterdam-Go-Ahead-Eagles-August-21-2016-Eredivisie,False,53,48
Utrecht-AZ-Alkmaar-August-21-2016-Eredivisie,False,45,55
Heracles-Almelo-Feyenoord-August-21-2016-Eredivisie,False,46,54
Vitesse-Utrecht-August-26-2016-Eredivisie,True,52,48
Willem-II-Roda-JC-Kerkrade-August-27-2016-Eredivisie,True,56,45
Feyenoord-Excelsior-August-27-2016-Eredivisie,False,67,33
Heerenveen-Zwolle-August-27-2016-Eredivisie,False,57,43
Twente-Sparta-Rotterdam-August-27-2016-Eredivisie,False,41,59
PSV-Eindhoven-Groningen-August-28-2016-Eredivisie,True,74,27
Go-Ahead-Eagles-Ajax-August-28-2016-Eredivisie,False,60,40
ADO-Den-Haag-Heracles-Almelo-August-28-2016-Eredivisie,True,49,51
AZ-Alkmaar-NEC-Nijmegen-August-28-2016-Eredivisie,False,63,37
Zwolle-Utrecht-September-10-2016-Eredivisie,True,36,64
AZ-Alkmaar-Willem-II-September-10-2016-Eredivisie,False,38,62
NEC-Nijmegen-PSV-Eindhoven-September-10-2016-Eredivisie,False,61,39
Excelsior-Heracles-Almelo-September-10-2016-Eredivisie,False,34,66
Heerenveen-Twente-September-10-2016-Eredivisie,False,54,46
Feyenoord-ADO-Den-Haag-September-11-2016-Eredivisie,False,66,34
Groningen-Sparta-Rotterdam-September-11-2016-Eredivisie,True,55,46
Go-Ahead-Eagles-Roda-JC-Kerkrade-September-11-2016-Eredivisie,False,46,54
Ajax-Vitesse-September-11-2016-Eredivisie,False,60,40
Utrecht-Groningen-September-16-2016-Eredivisie,False,36,64
Twente-ADO-Den-Haag-September-17-2016-Eredivisie,False,47,53
Vitesse-Go-Ahead-Eagles-September-17-2016-Eredivisie,False,55,45
Roda-JC-Kerkrade-Heerenveen-September-17-2016-Eredivisie,False,61,39
Willem-II-Excelsior-September-17-2016-Eredivisie,True,46,54
Sparta-Rotterdam-NEC-Nijmegen-September-18-2016-Eredivisie,False,52,48
Zwolle-AZ-Alkmaar-September-18-2016-Eredivisie,False,49,51
PSV-Eindhoven-Feyenoord-September-18-2016-Eredivisie,False,44,56
Heracles-Almelo-Ajax-September-18-2016-Eredivisie,False,56,44
