mid,tie,w_poss,l_poss
Eintracht-Frankfurt-Bayern-Munich-September-16-2022-Frauen-Bundesliga,True,52,48
Wolfsburg-Essen-September-17-2022-Frauen-Bundesliga,False,67,33
Koln-Hoffenheim-September-18-2022-Frauen-Bundesliga,False,57,43
SV-Meppen-Freiburg-September-18-2022-Frauen-Bundesliga,False,52,48
Werder-Bremen-Turbine-Potsdam-September-18-2022-Frauen-Bundesliga,True,55,45
MSV-Duisburg-Bayer-Leverkusen-September-18-2022-Frauen-Bundesliga,False,62,38
Bayer-Leverkusen-Koln-September-23-2022-Frauen-Bundesliga,False,52,48
Hoffenheim-Wolfsburg-September-24-2022-Frauen-Bundesliga,False,69,31
Bayern-Munich-Werder-Bremen-September-25-2022-Frauen-Bundesliga,False,66,34
Turbine-Potsdam-MSV-Duisburg-September-25-2022-Frauen-Bundesliga,False,45,55
Essen-SV-Meppen-September-25-2022-Frauen-Bundesliga,False,45,55
Freiburg-Eintracht-Frankfurt-September-25-2022-Frauen-Bundesliga,False,47,53
Wolfsburg-Bayer-Leverkusen-September-30-2022-Frauen-Bundesliga,False,53,47
Koln-Turbine-Potsdam-October-1-2022-Frauen-Bundesliga,False,60,40
SV-Meppen-Hoffenheim-October-2-2022-Frauen-Bundesliga,False,56,44
Eintracht-Frankfurt-Werder-Bremen-October-2-2022-Frauen-Bundesliga,False,69,31
MSV-Duisburg-Bayern-Munich-October-2-2022-Frauen-Bundesliga,False,78,22
Freiburg-Essen-October-2-2022-Frauen-Bundesliga,False,58,42
Hoffenheim-Freiburg-October-14-2022-Frauen-Bundesliga,False,49,51
Turbine-Potsdam-Wolfsburg-October-15-2022-Frauen-Bundesliga,False,60,40
Bayer-Leverkusen-SV-Meppen-October-16-2022-Frauen-Bundesliga,False,38,62
Bayern-Munich-Koln-October-16-2022-Frauen-Bundesliga,False,58,42
Essen-Eintracht-Frankfurt-October-16-2022-Frauen-Bundesliga,False,68,32
Werder-Bremen-MSV-Duisburg-October-16-2022-Frauen-Bundesliga,True,59,41
SV-Meppen-Turbine-Potsdam-October-21-2022-Frauen-Bundesliga,False,48,52
Freiburg-Bayer-Leverkusen-October-22-2022-Frauen-Bundesliga,False,43,57
Essen-Hoffenheim-October-23-2022-Frauen-Bundesliga,False,70,30
