mid,tie,w_poss,l_poss
Queretaro-Veracruz-July-16-2016-Liga-MX,False,42,58
Tijuana-Morelia-July-15-2016-Liga-MX,False,44,57
Pumas-UNAM-Guadalajara-July-17-2016-Liga-MX,False,40,61
Santos-Laguna-UANL-July-17-2016-Liga-MX,True,40,60
Atlas-Toluca-July-16-2016-Liga-MX,True,45,55
Monterrey-Puebla-July-16-2016-Liga-MX,True,44,56
Pachuca-Leon-July-16-2016-Liga-MX,False,58,42
America-Chiapas-July-16-2016-Liga-MX,False,54,46
Necaxa-Cruz-Azul-July-16-2016-Liga-MX,True,41,60
Chiapas-Pachuca-July-23-2016-Liga-MX,False,59,41
Cruz-Azul-Pumas-UNAM-July-23-2016-Liga-MX,True,53,47
Veracruz-Santos-Laguna-July-22-2016-Liga-MX,False,53,47
Puebla-Tijuana-July-24-2016-Liga-MX,False,43,57
Morelia-Queretaro-July-23-2016-Liga-MX,True,66,34
UANL-Atlas-July-23-2016-Liga-MX,True,53,47
Leon-Necaxa-July-23-2016-Liga-MX,True,52,49
Guadalajara-Monterrey-July-23-2016-Liga-MX,False,63,37
America-Toluca-July-23-2016-Liga-MX,False,51,49
Queretaro-Puebla-July-30-2016-Liga-MX,False,38,62
Tijuana-Guadalajara-July-29-2016-Liga-MX,False,34,66
Pumas-UNAM-Leon-July-31-2016-Liga-MX,False,54,46
Chiapas-Toluca-July-31-2016-Liga-MX,False,42,58
Santos-Laguna-Morelia-July-31-2016-Liga-MX,False,54,46
Atlas-Veracruz-July-30-2016-Liga-MX,False,54,46
Monterrey-Cruz-Azul-July-30-2016-Liga-MX,True,55,45
Pachuca-Necaxa-July-30-2016-Liga-MX,False,51,49
America-UANL-July-30-2016-Liga-MX,False,53,47
Cruz-Azul-Tijuana-August-6-2016-Liga-MX,False,49,51
Toluca-Pachuca-August-7-2016-Liga-MX,False,49,51
Puebla-Santos-Laguna-August-7-2016-Liga-MX,True,55,45
Morelia-Atlas-August-6-2016-Liga-MX,False,50,51
UANL-Chiapas-August-6-2016-Liga-MX,False,59,41
Leon-Monterrey-August-6-2016-Liga-MX,False,46,54
