mid,tie,w_poss,l_poss
Reims-Paris-Saint-Germain-August-8-2014-Ligue-1,True,35,65
Nice-Toulouse-August-9-2014-Ligue-1,False,48,52
Guingamp-Saint-Etienne-August-9-2014-Ligue-1,False,52,48
Nantes-Lens-August-9-2014-Ligue-1,False,53,47
Evian-Caen-August-9-2014-Ligue-1,False,41,59
Lille-Metz-August-9-2014-Ligue-1,True,66,34
Montpellier-Bordeaux-August-9-2014-Ligue-1,False,45,55
Bastia-Marseille-August-9-2014-Ligue-1,True,43,57
Lyon-Rennes-August-10-2014-Ligue-1,False,56,44
Monaco-Lorient-August-10-2014-Ligue-1,False,38,62
Caen-Lille-August-15-2014-Ligue-1,False,58,42
Paris-Saint-Germain-Bastia-August-16-2014-Ligue-1,False,66,34
Metz-Nantes-August-16-2014-Ligue-1,True,49,51
Toulouse-Lyon-August-16-2014-Ligue-1,False,43,57
Lens-Guingamp-August-16-2014-Ligue-1,False,50,50
Rennes-Evian-August-16-2014-Ligue-1,False,52,48
Lorient-Nice-August-16-2014-Ligue-1,True,54,46
Saint-Etienne-Reims-August-17-2014-Ligue-1,False,52,48
Marseille-Montpellier-August-17-2014-Ligue-1,False,44,56
Bordeaux-Monaco-August-17-2014-Ligue-1,False,48,52
Evian-Paris-Saint-Germain-August-22-2014-Ligue-1,True,31,69
Guingamp-Marseille-August-23-2014-Ligue-1,False,57,43
Reims-Caen-August-23-2014-Ligue-1,False,47,53
Nice-Bordeaux-August-23-2014-Ligue-1,False,47,53
Bastia-Toulouse-August-23-2014-Ligue-1,False,47,53
Montpellier-Metz-August-23-2014-Ligue-1,False,57,43
Lille-Lorient-August-23-2014-Ligue-1,False,62,38
Lyon-Lens-August-24-2014-Ligue-1,False,41,59
Saint-Etienne-Rennes-August-24-2014-Ligue-1,True,53,47
Nantes-Monaco-August-24-2014-Ligue-1,False,58,42
Marseille-Nice-August-29-2014-Ligue-1,False,57,43
Monaco-Lille-August-30-2014-Ligue-1,True,53,47
Nantes-Montpellier-August-30-2014-Ligue-1,False,51,49
Lens-Reims-August-30-2014-Ligue-1,False,51,49
Lorient-Guingamp-August-30-2014-Ligue-1,False,56,44
Caen-Rennes-August-30-2014-Ligue-1,False,64,36
Toulouse-Evian-August-30-2014-Ligue-1,False,57,43
Bordeaux-Bastia-August-31-2014-Ligue-1,True,62,38
Metz-Lyon-August-31-2014-Ligue-1,False,44,56
Paris-Saint-Germain-Saint-Etienne-August-31-2014-Ligue-1,False,62,38
Lyon-Monaco-September-12-2014-Ligue-1,False,55,45
Rennes-Paris-Saint-Germain-September-13-2014-Ligue-1,True,40,60
Reims-Toulouse-September-13-2014-Ligue-1,False,38,62
Nice-Metz-September-13-2014-Ligue-1,False,57,43
Saint-Etienne-Caen-September-13-2014-Ligue-1,False,56,44
Bastia-Lens-September-13-2014-Ligue-1,True,59,41
Montpellier-Lorient-September-13-2014-Ligue-1,False,45,55
Lille-Nantes-September-14-2014-Ligue-1,False,55,45
Guingamp-Bordeaux-September-14-2014-Ligue-1,False,41,59
Evian-Marseille-September-14-2014-Ligue-1,False,57,43
Bordeaux-Evian-September-19-2014-Ligue-1,False,54,46
Marseille-Rennes-September-20-2014-Ligue-1,False,57,43
Lorient-Reims-September-20-2014-Ligue-1,False,39,61
Nantes-Nice-September-20-2014-Ligue-1,False,41,59
Toulouse-Caen-September-20-2014-Ligue-1,True,56,44
Metz-Bastia-September-20-2014-Ligue-1,False,44,56
Lille-Montpellier-September-21-2014-Ligue-1,True,56,44
