mid,tie,w_poss,l_poss
Washington-Spirit-Boston-Breakers-April-16-2016-NWSL,False,49,51
Seattle-Reign-FC-Sky-Blue-FC-April-17-2016-NWSL,False,35,65
Houston-Dash-Chicago-Red-Stars-April-16-2016-NWSL,False,62,38
FC-Kansas-City-Western-New-York-Flash-April-16-2016-NWSL,False,37,63
Portland-Thorns-FC-Orlando-Pride-April-17-2016-NWSL,False,58,42
Chicago-Red-Stars-Western-New-York-Flash-April-23-2016-NWSL,False,54,46
Orlando-Pride-Houston-Dash-April-23-2016-NWSL,False,52,48
Sky-Blue-FC-Washington-Spirit-April-24-2016-NWSL,False,57,43
Boston-Breakers-Seattle-Reign-FC-April-24-2016-NWSL,False,56,44
FC-Kansas-City-Portland-Thorns-FC-April-23-2016-NWSL,True,33,67
Western-New-York-Flash-Washington-Spirit-April-29-2016-NWSL,False,55,46
Houston-Dash-Sky-Blue-FC-April-29-2016-NWSL,True,57,43
Seattle-Reign-FC-FC-Kansas-City-May-1-2016-NWSL,False,55,45
Chicago-Red-Stars-Orlando-Pride-May-1-2016-NWSL,False,45,55
Boston-Breakers-Portland-Thorns-FC-May-1-2016-NWSL,False,53,47
Washington-Spirit-Portland-Thorns-FC-May-7-2016-NWSL,True,44,56
Sky-Blue-FC-Western-New-York-Flash-May-7-2016-NWSL,False,47,53
Boston-Breakers-Chicago-Red-Stars-May-7-2016-NWSL,False,45,55
Orlando-Pride-Seattle-Reign-FC-May-8-2016-NWSL,False,48,52
FC-Kansas-City-Houston-Dash-May-7-2016-NWSL,False,55,45
Sky-Blue-FC-Boston-Breakers-May-13-2016-NWSL,False,39,61
Washington-Spirit-Houston-Dash-May-14-2016-NWSL,False,56,45
FC-Kansas-City-Chicago-Red-Stars-May-13-2016-NWSL,True,46,54
Orlando-Pride-Western-New-York-Flash-May-14-2016-NWSL,False,58,42
Seattle-Reign-FC-Portland-Thorns-FC-May-14-2016-NWSL,True,61,39
Western-New-York-Flash-Sky-Blue-FC-May-21-2016-NWSL,False,47,53
Houston-Dash-Orlando-Pride-May-20-2016-NWSL,False,45,55
Seattle-Reign-FC-Chicago-Red-Stars-May-22-2016-NWSL,False,47,53
Boston-Breakers-FC-Kansas-City-May-22-2016-NWSL,False,54,46
Portland-Thorns-FC-Washington-Spirit-May-21-2016-NWSL,False,51,49
Western-New-York-Flash-Boston-Breakers-May-27-2016-NWSL,False,48,52
