mid,tie,w_poss,l_poss
Lyon-Stade-de-Reims-August-27-2021-Division-1-Feminine,False,65,35
Saint-Etienne-Bordeaux-August-28-2021-Division-1-Feminine,True,38,62
Paris-FC-Guingamp-August-28-2021-Division-1-Feminine,False,55,45
Dijon-Montpellier-August-28-2021-Division-1-Feminine,False,53,47
Soyaux-Issy-August-28-2021-Division-1-Feminine,False,54,46
Paris-Saint-Germain-Fleury-August-29-2021-Division-1-Feminine,False,68,32
Montpellier-Paris-Saint-Germain-September-3-2021-Division-1-Feminine,False,70,30
Fleury-Paris-FC-September-3-2021-Division-1-Feminine,False,53,47
Issy-Dijon-September-4-2021-Division-1-Feminine,False,54,46
Bordeaux-Soyaux-September-4-2021-Division-1-Feminine,False,55,45
Stade-de-Reims-Guingamp-September-4-2021-Division-1-Feminine,True,42,58
Lyon-Saint-Etienne-September-5-2021-Division-1-Feminine,False,67,33
Guingamp-Montpellier-September-10-2021-Division-1-Feminine,False,56,44
Paris-FC-Stade-de-Reims-September-11-2021-Division-1-Feminine,False,60,40
Saint-Etienne-Issy-September-11-2021-Division-1-Feminine,False,42,58
Bordeaux-Fleury-September-12-2021-Division-1-Feminine,False,42,58
Soyaux-Paris-Saint-Germain-September-12-2021-Division-1-Feminine,False,67,33
Lyon-Dijon-September-12-2021-Division-1-Feminine,False,73,27
Lyon-Guingamp-September-24-2021-Division-1-Feminine,False,66,34
Issy-Bordeaux-September-25-2021-Division-1-Feminine,False,67,33
Fleury-Soyaux-September-25-2021-Division-1-Feminine,False,42,58
Stade-de-Reims-Montpellier-September-25-2021-Division-1-Feminine,False,58,42
Dijon-Saint-Etienne-September-25-2021-Division-1-Feminine,False,46,54
Paris-Saint-Germain-Paris-FC-September-26-2021-Division-1-Feminine,False,58,42
Bordeaux-Lyon-October-1-2021-Division-1-Feminine,False,61,39
Montpellier-Fleury-October-1-2021-Division-1-Feminine,False,39,61
Issy-Stade-de-Reims-October-2-2021-Division-1-Feminine,False,51,49
Saint-Etienne-Paris-FC-October-2-2021-Division-1-Feminine,False,59,41
Soyaux-Dijon-October-2-2021-Division-1-Feminine,False,45,55
Paris-Saint-Germain-Guingamp-October-10-2021-Division-1-Feminine,False,61,39
Stade-de-Reims-Bordeaux-October-16-2021-Division-1-Feminine,False,37,63
Fleury-Dijon-October-16-2021-Division-1-Feminine,False,43,57
Paris-FC-Soyaux-October-16-2021-Division-1-Feminine,False,55,45
Guingamp-Issy-October-16-2021-Division-1-Feminine,True,65,35
Paris-Saint-Germain-Saint-Etienne-October-17-2021-Division-1-Feminine,False,65,35
Lyon-Montpellier-October-17-2021-Division-1-Feminine,False,70,30
Issy-Paris-FC-October-30-2021-Division-1-Feminine,False,72,28
Saint-Etienne-Montpellier-October-30-2021-Division-1-Feminine,False,53,47
Bordeaux-Guingamp-October-30-2021-Division-1-Feminine,False,47,53
Fleury-Stade-de-Reims-October-30-2021-Division-1-Feminine,False,43,57
Dijon-Paris-Saint-Germain-October-31-2021-Division-1-Feminine,False,72,28
Soyaux-Lyon-October-31-2021-Division-1-Feminine,False,66,34
Paris-FC-Bordeaux-November-12-2021-Division-1-Feminine,False,45,55
Montpellier-Issy-November-13-2021-Division-1-Feminine,False,62,38
Guingamp-Soyaux-November-13-2021-Division-1-Feminine,True,56,44
Saint-Etienne-Fleury-November-13-2021-Division-1-Feminine,False,41,59
Stade-de-Reims-Dijon-November-13-2021-Division-1-Feminine,True,43,57
Lyon-Paris-Saint-Germain-November-14-2021-Division-1-Feminine,False,58,42
Soyaux-Saint-Etienne-November-20-2021-Division-1-Feminine,False,46,54
Fleury-Guingamp-November-20-2021-Division-1-Feminine,False,44,56
Dijon-Paris-FC-November-20-2021-Division-1-Feminine,False,66,34
Bordeaux-Montpellier-November-20-2021-Division-1-Feminine,False,42,58
Paris-Saint-Germain-Stade-de-Reims-November-21-2021-Division-1-Feminine,False,75,25
Issy-Lyon-November-21-2021-Division-1-Feminine,False,72,28
Montpellier-Paris-FC-December-3-2021-Division-1-Feminine,True,45,55
Guingamp-Saint-Etienne-December-4-2021-Division-1-Feminine,True,48,52
Bordeaux-Dijon-December-4-2021-Division-1-Feminine,True,63,37
Stade-de-Reims-Soyaux-December-4-2021-Division-1-Feminine,False,48,52
Issy-Paris-Saint-Germain-December-4-2021-Division-1-Feminine,False,74,26
Lyon-Fleury-December-5-2021-Division-1-Feminine,False,64,36
Paris-Saint-Germain-Bordeaux-December-12-2021-Division-1-Feminine,False,69,31
Soyaux-Montpellier-December-12-2021-Division-1-Feminine,False,54,46
Dijon-Guingamp-December-12-2021-Division-1-Feminine,True,45,55
Paris-FC-Lyon-December-12-2021-Division-1-Feminine,False,49,51
Saint-Etienne-Stade-de-Reims-December-12-2021-Division-1-Feminine,False,41,59
Fleury-Issy-December-12-2021-Division-1-Feminine,False,64,36
Stade-de-Reims-Fleury-January-15-2022-Division-1-Feminine,False,53,47
Montpellier-Saint-Etienne-January-15-2022-Division-1-Feminine,False,56,44
Paris-FC-Issy-January-15-2022-Division-1-Feminine,False,66,34
Soyaux-Paris-FC-January-22-2022-Division-1-Feminine,False,58,42
Issy-Guingamp-January-22-2022-Division-1-Feminine,False,51,49
Bordeaux-Stade-de-Reims-January-22-2022-Division-1-Feminine,False,67,33
Montpellier-Lyon-January-22-2022-Division-1-Feminine,False,62,38
Saint-Etienne-Paris-Saint-Germain-January-23-2022-Division-1-Feminine,False,70,30
Guingamp-Bordeaux-January-29-2022-Division-1-Feminine,False,47,53
Fleury-Montpellier-February-4-2022-Division-1-Feminine,False,39,61
Guingamp-Paris-Saint-Germain-February-5-2022-Division-1-Feminine,False,64,36
Dijon-Soyaux-February-5-2022-Division-1-Feminine,False,44,56
Paris-FC-Saint-Etienne-February-5-2022-Division-1-Feminine,False,63,37
Stade-de-Reims-Issy-February-5-2022-Division-1-Feminine,False,57,43
Lyon-Bordeaux-February-6-2022-Division-1-Feminine,False,53,47
Dijon-Fleury-February-8-2022-Division-1-Feminine,True,51,49
Lyon-Soyaux-February-11-2022-Division-1-Feminine,False,62,38
Paris-Saint-Germain-Dijon-February-11-2022-Division-1-Feminine,False,70,30
Guingamp-Paris-FC-February-26-2022-Division-1-Feminine,False,55,45
Bordeaux-Saint-Etienne-February-26-2022-Division-1-Feminine,False,49,51
Issy-Soyaux-February-26-2022-Division-1-Feminine,False,39,61
Montpellier-Dijon-February-26-2022-Division-1-Feminine,False,63,37
Fleury-Paris-Saint-Germain-February-27-2022-Division-1-Feminine,False,72,28
Stade-de-Reims-Lyon-February-27-2022-Division-1-Feminine,False,69,31
Paris-FC-Fleury-March-11-2022-Division-1-Feminine,False,56,44
Paris-Saint-Germain-Montpellier-March-11-2022-Division-1-Feminine,True,61,39
Saint-Etienne-Lyon-March-12-2022-Division-1-Feminine,True,35,65
Soyaux-Bordeaux-March-12-2022-Division-1-Feminine,False,56,44
Guingamp-Stade-de-Reims-March-12-2022-Division-1-Feminine,False,52,48
Dijon-Issy-March-12-2022-Division-1-Feminine,False,47,53
