mid,tie,w_poss,l_poss
Aves-Sporting-CP-August-6-2017-Primeira-Liga,False,56,44
Vitoria-Setubal-Moreirense-August-6-2017-Primeira-Liga,True,48,52
Portimonense-Boavista-August-7-2017-Primeira-Liga,False,60,40
Feirense-Tondela-August-7-2017-Primeira-Liga,True,52,48
Rio-Ave-Belenenses-August-7-2017-Primeira-Liga,False,65,35
Maritimo-Pacos-de-Ferreira-August-8-2017-Primeira-Liga,False,44,56
Porto-Estoril-August-9-2017-Primeira-Liga,False,62,38
Benfica-Braga-August-9-2017-Primeira-Liga,False,60,40
Vitoria-Guimaraes-Chaves-August-10-2017-Primeira-Liga,False,42,58
Sporting-CP-Vitoria-Setubal-August-11-2017-Primeira-Liga,False,72,28
Moreirense-Feirense-August-12-2017-Primeira-Liga,True,59,41
Belenenses-Maritimo-August-12-2017-Primeira-Liga,False,56,44
Boavista-Rio-Ave-August-12-2017-Primeira-Liga,False,56,44
Pacos-de-Ferreira-Aves-August-13-2017-Primeira-Liga,True,57,43
Braga-Portimonense-August-13-2017-Primeira-Liga,False,56,44
Tondela-Porto-August-13-2017-Primeira-Liga,False,64,36
Estoril-Vitoria-Guimaraes-August-14-2017-Primeira-Liga,False,46,54
Chaves-Benfica-August-14-2017-Primeira-Liga,False,64,36
Rio-Ave-Portimonense-August-18-2017-Primeira-Liga,False,64,36
Tondela-Estoril-August-19-2017-Primeira-Liga,False,45,55
Vitoria-Guimaraes-Sporting-CP-August-19-2017-Primeira-Liga,False,48,52
Benfica-Belenenses-August-19-2017-Primeira-Liga,False,59,41
Vitoria-Setubal-Chaves-August-20-2017-Primeira-Liga,True,49,51
Porto-Moreirense-August-20-2017-Primeira-Liga,False,67,33
Aves-Braga-August-20-2017-Primeira-Liga,False,54,46
Maritimo-Boavista-August-20-2017-Primeira-Liga,False,50,50
Feirense-Pacos-de-Ferreira-August-21-2017-Primeira-Liga,False,55,45
Belenenses-Vitoria-Setubal-August-25-2017-Primeira-Liga,True,49,51
Moreirense-Tondela-August-26-2017-Primeira-Liga,False,40,60
Pacos-de-Ferreira-Vitoria-Guimaraes-August-26-2017-Primeira-Liga,True,33,67
Chaves-Feirense-August-26-2017-Primeira-Liga,False,34,66
Rio-Ave-Benfica-August-26-2017-Primeira-Liga,True,49,51
Boavista-Aves-August-27-2017-Primeira-Liga,False,46,54
Sporting-CP-Estoril-August-27-2017-Primeira-Liga,False,54,46
Braga-Porto-August-27-2017-Primeira-Liga,False,55,45
Portimonense-Maritimo-August-28-2017-Primeira-Liga,False,40,60
Feirense-Sporting-CP-September-8-2017-Primeira-Liga,False,63,37
Benfica-Portimonense-September-8-2017-Primeira-Liga,False,73,27
Tondela-Pacos-de-Ferreira-September-9-2017-Primeira-Liga,True,42,58
Maritimo-Rio-Ave-September-9-2017-Primeira-Liga,False,59,41
Porto-Chaves-September-9-2017-Primeira-Liga,False,60,40
Vitoria-Setubal-Braga-September-10-2017-Primeira-Liga,False,32,68
Vitoria-Guimaraes-Boavista-September-10-2017-Primeira-Liga,False,66,34
Estoril-Moreirense-September-10-2017-Primeira-Liga,False,29,71
Aves-Belenenses-September-11-2017-Primeira-Liga,False,43,57
Pacos-de-Ferreira-Vitoria-Setubal-September-15-2017-Primeira-Liga,False,42,58
Maritimo-Aves-September-16-2017-Primeira-Liga,False,49,51
Boavista-Benfica-September-16-2017-Primeira-Liga,False,34,66
