mid,tie,w_poss,l_poss
Brescia-Perugia-August-24-2018-Serie-B,True,45,55
Cremonese-Pescara-August-25-2018-Serie-B,True,42,58
Salernitana-Palermo-August-25-2018-Serie-B,True,35,65
Venezia-Spezia-August-25-2018-Serie-B,False,43,57
Hellas-Verona-Padova-August-26-2018-Serie-B,True,65,35
Cittadella-Crotone-August-26-2018-Serie-B,False,46,54
Ascoli-Cosenza-August-26-2018-Serie-B,True,65,35
Foggia-Carpi-August-26-2018-Serie-B,False,57,43
Benevento-Lecce-August-27-2018-Serie-B,True,51,49
Palermo-Cremonese-August-31-2018-Serie-B,True,53,47
Spezia-Brescia-September-1-2018-Serie-B,False,42,58
Carpi-Cittadella-September-1-2018-Serie-B,False,57,43
Padova-Venezia-September-1-2018-Serie-B,False,46,54
Pescara-Livorno-September-2-2018-Serie-B,False,56,44
Crotone-Foggia-September-2-2018-Serie-B,False,50,50
Lecce-Salernitana-September-2-2018-Serie-B,True,51,49
Perugia-Ascoli-September-2-2018-Serie-B,False,41,59
Venezia-Benevento-September-14-2018-Serie-B,False,50,50
Ascoli-Lecce-September-15-2018-Serie-B,False,40,60
Cittadella-Cosenza-September-15-2018-Serie-B,False,64,36
Brescia-Pescara-September-15-2018-Serie-B,True,55,45
Cremonese-Spezia-September-15-2018-Serie-B,False,37,63
Hellas-Verona-Carpi-September-16-2018-Serie-B,False,67,33
Salernitana-Padova-September-16-2018-Serie-B,False,38,62
Foggia-Palermo-September-16-2018-Serie-B,False,43,57
Livorno-Crotone-September-17-2018-Serie-B,False,64,36
Benevento-Salernitana-September-21-2018-Serie-B,False,54,46
Spezia-Cittadella-September-22-2018-Serie-B,False,44,56
Crotone-Hellas-Verona-September-22-2018-Serie-B,False,49,51
Palermo-Perugia-September-22-2018-Serie-B,False,51,49
Lecce-Venezia-September-22-2018-Serie-B,False,57,43
Carpi-Brescia-September-22-2018-Serie-B,True,42,58
Pescara-Foggia-September-22-2018-Serie-B,False,43,57
Cosenza-Livorno-September-22-2018-Serie-B,True,52,48
Padova-Cremonese-September-23-2018-Serie-B,True,37,63
Livorno-Lecce-September-25-2018-Serie-B,False,50,50
Salernitana-Ascoli-September-25-2018-Serie-B,True,46,54
Cittadella-Benevento-September-25-2018-Serie-B,False,43,57
Pescara-Crotone-September-25-2018-Serie-B,False,37,63
Brescia-Palermo-September-25-2018-Serie-B,False,40,60
Hellas-Verona-Spezia-September-25-2018-Serie-B,False,60,40
Perugia-Carpi-September-25-2018-Serie-B,False,35,65
Cremonese-Cosenza-September-26-2018-Serie-B,False,48,52
Foggia-Padova-September-26-2018-Serie-B,False,66,34
Crotone-Brescia-September-28-2018-Serie-B,True,56,44
Lecce-Cittadella-September-29-2018-Serie-B,True,42,58
Salernitana-Hellas-Verona-September-29-2018-Serie-B,False,36,64
Spezia-Carpi-September-29-2018-Serie-B,False,73,27
Venezia-Livorno-September-29-2018-Serie-B,True,55,45
Ascoli-Cremonese-September-30-2018-Serie-B,True,51,49
Cosenza-Perugia-September-30-2018-Serie-B,True,46,54
Benevento-Foggia-September-30-2018-Serie-B,False,46,54
Padova-Pescara-October-2-2018-Serie-B,True,42,58
Hellas-Verona-Lecce-October-5-2018-Serie-B,False,37,63
Carpi-Cosenza-October-6-2018-Serie-B,True,38,62
Pescara-Benevento-October-6-2018-Serie-B,False,36,64
Cremonese-Salernitana-October-6-2018-Serie-B,True,57,43
Foggia-Ascoli-October-6-2018-Serie-B,False,53,47
Perugia-Venezia-October-6-2018-Serie-B,False,49,51
Livorno-Spezia-October-7-2018-Serie-B,False,45,55
Brescia-Padova-October-7-2018-Serie-B,False,55,45
Palermo-Crotone-October-7-2018-Serie-B,False,53,47
Spezia-Pescara-October-19-2018-Serie-B,False,39,61
Ascoli-Carpi-October-20-2018-Serie-B,False,53,47
Cittadella-Brescia-October-20-2018-Serie-B,True,52,48
Cosenza-Foggia-October-20-2018-Serie-B,False,36,64
Crotone-Padova-October-20-2018-Serie-B,False,58,42
Venezia-Hellas-Verona-October-21-2018-Serie-B,True,45,55
Salernitana-Perugia-October-21-2018-Serie-B,False,43,57
Lecce-Palermo-October-21-2018-Serie-B,False,47,53
Benevento-Livorno-October-22-2018-Serie-B,False,53,47
Palermo-Venezia-October-26-2018-Serie-B,True,55,45
Benevento-Cremonese-October-27-2018-Serie-B,False,48,52
Padova-Spezia-October-27-2018-Serie-B,True,39,61
Pescara-Cittadella-October-27-2018-Serie-B,False,49,51
Brescia-Cosenza-October-27-2018-Serie-B,False,45,55
Livorno-Ascoli-October-27-2018-Serie-B,False,41,59
Foggia-Lecce-October-27-2018-Serie-B,True,51,49
Hellas-Verona-Perugia-October-27-2018-Serie-B,False,52,48
Crotone-Salernitana-October-28-2018-Serie-B,True,59,41
Perugia-Padova-October-30-2018-Serie-B,False,52,48
Cosenza-Pescara-October-30-2018-Serie-B,True,42,58
Cittadella-Foggia-October-30-2018-Serie-B,True,49,51
Carpi-Palermo-October-30-2018-Serie-B,False,67,33
Ascoli-Hellas-Verona-October-30-2018-Serie-B,False,44,56
Cremonese-Venezia-October-30-2018-Serie-B,False,51,49
